,,c2925.prn,c3025.prn,c3125.prn,c3225.prn,c3325.prn,p2925.prn,p3025.prn,p3125.prn,p3225.prn,p3325.prn
34589,3127.5,230,159,110,55,30,33,55,90,153,210
34590,3118.5,218,150,92,49,25,36,65,107,160,233
34591,3079,191,126,90,45,33,44,64,105,186,262
34592,3113.5,229,157,80,48,30,40,72,115,106,221
34593,3066.5,179,127,104,47,14,38,70,114,114,233
34596,3080,175,135,87,39,16,50,73,120,181,256
34597,3035,171,110,74,40,30,60,89,140,206,286
34598,3015,152,115,55,24,12,55,90,158,228,311
34599,3019.5,162,103,58,27,11,58,94,147,215,296
34600,3028,170,109,60,32,12,54,93,150,208,288
34603,3002,146,103,57,20,7,60,100,163,233,318
34604,3008.5,149,91,50,20,7.5,60,107,158,228,312
34605,3039.5,157,99,54,23,8.5,57,97,151,218,301
34606,2994.5,172,110,62,28,11,49,86,137,201,282
34607,3022.5,145,89,47,19,6.5,70,104,161,231,316
34610,2984.5,154,96,52,26,7,53,93,148,216,300
34611,3001.5,132,79,50,15,6,56,97,154,224,309
34612,2959.5,130,78,39,16,7,75,125,189,260,348
34613,2985.5,134,78,43,16,4,67,117,175,250,328
34614,2997.5,147,90,47,18,5.5,56,117,154,224,309
34617,3031.5,172,107,60,22,9,51,77,127,191,273
34618,3073,205,135,60,22,14,49,59,102,158,234
34619,3098.5,214,142,87,37,22,30,54,95,150,222
34620,3144.5,257,179,88,55,27,19,38,96,115,181
34621,3104.5,219,160,100,47,24,24,43,88,130,216
34624,3120.5,232,157,101,55,22,21,43,79,130,201
34625,3083,200,130,73,32,18,27,55,98,155,234
34626,3057.5,176,117,62,35,8,33,66,97,177,259
34627,3060.5,178,112,69,24,12,31,64,102,175,256
34628,3030,156,92,45,20,4,40,77,128,198,283
34631,3033,147,85,50,20,6,37,80,135,207,295
34632,2999.5,160,58,35,10,1,83,80,152,225,320
34633,3003.5,122,85,33,13,0.5,54,81,140,212,329
34634,3028,154,78,29,15,3.5,38,74,128,198,283
34635,3083.5,201,106,44,18,10,39,73,93,152,231
34638,3097,209,133,72,31,10,26,53,84,138,219
34639,3093.5,199,125,67,27,8,24,49,91,150,230
34640,3082.5,191,118,62,34,7,26,52,83,158,239
34641,3102.5,212,125,65,22,10,26,42,98,137,214
34642,3098,209,132,67,32,9.5,20,42,82,137,215
34645,3066.5,165,96,52,15,3,26,60,99,178,264
34646,3061.5,157,97,41,13,2,31,63,114,185,273
34647,3101,191,116,59,21,5,20,45,87,149,232
34648,3103.5,188,113,55,20,4.5,20,45,89,151,234
34649,3073.5,174,102,50,15,3,22,49,91,162,248
34652,3087.5,164,106,42,18,1.5,23,51,99,169,257
34653,3135.5,234,143,70,28,11,10,30,63,111,186
34654,3147.5,233,163,65,32,8,10,26,52,93,172
34655,3126.5,219,142,75,28,9,9,20,50,108,187
34656,3130.5,228,141,71,24,8,9,21,51,107,183
34659,3120.5,212,128,66,21,7,9,23,57,118,245
34660,3079.5,187,109,50,15,2,12,33,74,140,223
34661,3026,128,62,23,5,1.5,25,60,116,200,294
34662,3036.5,125,66,26,5.5,0,20,53,102,194,285
34663,3032,118,53,17,3,0,24,58,123,206,303
34666,3047,143,70,25,6,0.5,14,38,113,172,267
34667,3061.5,153,82,28,7,1,12,35,81,160,254
34668,3080,165,82,28,5.5,1,6,30,65,134,229
34669,3038.5,125,52,24,2,0,8,24,88,183,281
34670,3017,95,42,8,1,0,9,42,105,218,317
34673,3032,101,37,5.5,0,0,8,40,102,203,303
34674,3014,105,37,5,0,0,8.5,40,109,200,300
34675,3012,93,45,5,0.5,0,7,31,115,205,310
34676,3012.5,82,22,2.5,0,0,9,48,127,224,323
34677,2977.5,80,18,1,0,0,9,56,156,255,327
34680,2943,52,7,0,0,0,6,44,175,275,376
34681,2948,35,1,0,0,0,9,50,160,281,391
34682,2980,35,1,0,0,0,8,70,144,265,344
34683,2975,47,2,0,0,0,0.5,40,127,230,327
34684,3013,44,0,0,0,0,0,60,150,256,350
